time [s], mxb, myb, mzb, sxb, syb, szb
1.030000e+01, 3.529328e-01, -5.173875e-01, -7.795823e-01, -3.966164e-01, 6.582440e-01, -6.398517e-01
1.040000e+01, 3.178637e-01, -6.938354e-01, -6.461850e-01, -5.552232e-02, 6.572615e-01, -7.516146e-01
1.050000e+01, 1.972922e-01, -8.310904e-01, -5.199658e-01, 2.824559e-01, 5.446352e-01, -7.896779e-01
1.060000e+01, 2.506340e-02, -9.144508e-01, -4.039203e-01, 5.719790e-01, 3.368719e-01, -7.479019e-01
1.070000e+01, -1.856696e-01, -9.288021e-01, -3.207078e-01, 7.715686e-01, 6.406226e-02, -6.329123e-01
1.080000e+01, -3.992322e-01, -8.681658e-01, -2.947910e-01, 8.554947e-01, -2.385545e-01, -4.595875e-01
1.090000e+01, -5.817124e-01, -7.528570e-01, -3.079237e-01, 8.109666e-01, -5.279374e-01, -2.522208e-01
11, -7.203159e-01, -5.935244e-01, -3.589898e-01, 6.439240e-01, -7.641044e-01, -3.881174e-02
1.110000e+01, -7.857771e-01, -4.025251e-01, -4.696040e-01, 3.792458e-01, -9.131714e-01, 1.493003e-01
1.120000e+01, -7.760300e-01, -2.242069e-01, -5.894986e-01, 5.037749e-02, -9.568806e-01, 2.860799e-01
1.130000e+01, -6.915253e-01, -6.342797e-02, -7.195621e-01, -2.940707e-01, -8.870847e-01, 3.558133e-01
1.140000e+01, -5.347067e-01, 4.593244e-02, -8.437885e-01, -6.084176e-01, -7.141933e-01, 3.460578e-01
1.150000e+01, -3.351419e-01, 7.874145e-02, -9.388715e-01, -8.480714e-01, -4.630766e-01, 2.575556e-01
1.160000e+01, -1.234404e-01, 5.008224e-02, -9.910874e-01, -9.804622e-01, -1.663076e-01, 1.050510e-01
1.170000e+01, 8.469484e-02, -4.520600e-02, -9.953809e-01, -9.869698e-01, 1.317871e-01, -9.231898e-02
1.180000e+01, 2.367828e-01, -1.925898e-01, -9.522831e-01, -8.667677e-01, 3.936959e-01, -3.061329e-01
